# WLASL300 - Glosas (Glosses) con traducción al español
# Total de clases: 298
# Formato: ID | Glosa (Inglés) | Traducción (Español)
================================================================================
255 | east                      | este
256 | enjoy                     | disfrutar
257 | escape                    | escapar
258 | exchange                  | intercambiar
259 | expensive                 | caro/cara
260 | face                      | cara
261 | farm                      | granja
262 | find                      | encontrar
263 | fly                       | volar
264 | front                     | frente / delantero
265 | group                     | grupo
266 | happy                     | feliz
267 | hearing                   | oyente / que oye
268 | heart                     | corazón
269 | helicopter                | helicóptero
270 | her                       | ella / su (de ella)
271 | history                   | historia
272 | humble                    | humilde
273 | idea                      | idea
274 | important                 | importante
275 | internet                  | internet
276 | jealous                   | celoso/celosa
277 | join                      | unirse
278 | know                      | saber / conocer
279 | late                      | tarde
280 | learn                     | aprender
281 | lemon                     | limón
282 | light                     | luz / ligero
283 | match                     | partido / combinar
284 | mean                      | significar
285 | meat                      | carne
286 | medicine                  | medicina
287 | mirror                    | espejo
288 | miss                      | extrañar / perder
289 | more                      | más
290 | music                     | música
291 | one                       | uno/una
292 | onion                     | cebolla
293 | overwhelm                 | abrumar
294 | pants                     | pantalones
295 | paper                     | papel
296 | police                    | policía
297 | possible                  | posible
298 | postpone                  | posponer
299 | potato                    | papa 
